Наименование дисциплины,Аннотация РПД,Учебная карта дисциплины,Рабочая программа дисциплины
Алгебра и геометрия,Аннотация РПД,УКД,РПД
Алгебраические методы функционального анализа,Аннотация РПД,УКД,РПД
Асимптотические методы,Аннотация РПД,УКД,РПД
Аэроакустика,Аннотация РПД,УКД,РПД
Безопасность жизнедеятельности,Аннотация РПД,УКД,РПД
Вариационное исчисление и методы оптимизации,Аннотация РПД,УКД,РПД
Введение в биомеханику,Аннотация РПД,УКД,РПД
Введение в проектную деятельность,Аннотация РПД,УКД,РПД
Введение в теорию функций вещественной переменной,Аннотация РПД,УКД,РПД
Динамика механических систем,Аннотация РПД,УКД,РПД
Дискретная математика и математическая логика,Аннотация РПД,УКД,РПД
Дисциплины по физической культуре и спорту,Аннотация РПД,УКД,РПД
Дифференциально-геометрические и топологические методы,Аннотация РПД,УКД,РПД
Дифференциальные уравнения,Аннотация РПД,УКД,РПД
Избранные главы гидроаэродинамики,Аннотация РПД,УКД,РПД
Избранные главы теории упругости,Аннотация РПД,УКД,РПД
Иностранный язык,Аннотация РПД,УКД,РПД
Иностранный язык для деловой коммуникации,Аннотация РПД,УКД,РПД
Интегральные преобразования и их приложения,Аннотация РПД,УКД,РПД
Интегральные уравнения и их приложения,Аннотация РПД,УКД,РПД
"История (История России, всеобщая история)",Аннотация РПД,УКД,РПД
Комплексный анализ,Аннотация РПД,УКД,РПД
Компьютерные науки,Аннотация РПД,УКД,РПД
Математические модели в механике сплошных сред,Аннотация РПД,УКД,РПД
Математические модели гидроупругости,Аннотация РПД,УКД,РПД
Математические модели теории упругости и пластичности,Аннотация РПД,УКД,РПД
Математический анализ,Аннотация РПД,УКД,РПД
Механика композитов,Аннотация РПД,УКД,РПД
Механика материалов,Аннотация РПД,УКД,РПД
Механика сплошной среды,Аннотация РПД,УКД,РПД
Обратные задачи в естествознании,Аннотация РПД,УКД,РПД
Операторы в банаховых пространствах,Аннотация РПД,УКД,РПД
Основания геометрии,Аннотация РПД,УКД,РПД
"Основы теории групп, колец и полей",Аннотация РПД,УКД,РПД
Прикладной функциональный анализ,Аннотация РПД,УКД,РПД
Проект 1 курса,Аннотация РПД,УКД,РПД
Проект 2 курса,Аннотация РПД,УКД,РПД
Проект 3 курса,Аннотация РПД,УКД,РПД
Стохастическое моделирование,Аннотация РПД,УКД,РПД
Теоретическая и прикладная механика,Аннотация РПД,УКД,РПД
"Теория вероятностей, математическая статистика, теория случайных процессов",Аннотация РПД,УКД,РПД
Теория чисел,Аннотация РПД,УКД,РПД
Технология программирования и компьютерный практикум,Аннотация РПД,УКД,РПД
Уравнения в частных производных,Аннотация РПД,УКД,РПД
Уравнения математической физики,Аннотация РПД,УКД,РПД
Физико-механический практикум и вычислительная механика,Аннотация РПД,УКД,РПД
Физическая культура и спорт,Аннотация РПД,УКД,РПД
Философия,Аннотация РПД,УКД,РПД
Функциональный анализ,Аннотация РПД,УКД,РПД
Целые функции,Аннотация РПД,УКД,РПД
Численные методы,Аннотация РПД,УКД,РПД
Экономика и право,Аннотация РПД,УКД,РПД
Экспериментальная механика жидкости и газа,Аннотация РПД,УКД,РПД
Экспериментальная механика твердых деформируемых тел,Аннотация РПД,УКД,РПД
Автоматизация бизнеса на основе 1С:ERP,Аннотация РПД,УКД,РПД
Алгебра и геометрия,Аннотация РПД,УКД,РПД
Алгоритмы на графах,Аннотация РПД,УКД,РПД
Архитектура компьютера и операционные системы,Аннотация РПД,УКД,РПД
Базы данных,Аннотация РПД,УКД,РПД
Безопасность жизнедеятельности,Аннотация РПД,УКД,РПД
Введение в проектную деятельность,Аннотация РПД,УКД,РПД
Дисциплины по физической культуре и спорту,Аннотация РПД,УКД,РПД
Дифференциальные уравнения,Аннотация РПД,УКД,РПД
Задачи оптимального управления,Аннотация РПД,УКД,РПД
Иностранный язык,Аннотация РПД,УКД,РПД
Иностранный язык для деловой коммуникации,Аннотация РПД,УКД,РПД
Искусственные нейронные сети и приложения,Аннотация РПД,УКД,РПД
Искусственный интеллект,Аннотация РПД,УКД,РПД
"История (История России, всеобщая история)",Аннотация РПД,УКД,РПД
Комплексный и векторный анализ,Аннотация РПД,УКД,РПД
Компьютерные сети,Аннотация РПД,УКД,РПД
Криптография,Аннотация РПД,УКД,РПД
Математическая логика и дискретная математика,Аннотация РПД,УКД,РПД
Математические модели естественных наук,Аннотация РПД,УКД,РПД
Математические основы защиты информации,Аннотация РПД,УКД,РПД
Математический анализ,Аннотация РПД,УКД,РПД
Машинное обучение,Аннотация РПД,УКД,РПД
Методы оптимизации и исследование операций,Аннотация РПД,УКД,РПД
Модели нелинейной динамики,Аннотация РПД,УКД,РПД
Основы алгоритмизации и программирования,Аннотация РПД,УКД,РПД
Пакеты научных вычислений,Аннотация РПД,УКД,РПД
ПО для управления бизнес-процессами,Аннотация РПД,УКД,РПД
Полнофункциональная веб-разработка с Ruby on Rails,Аннотация РПД,УКД,РПД
Проект 1 курса,Аннотация РПД,УКД,РПД
Проект 2 курса,Аннотация РПД,УКД,РПД
Проект 3 курса,Аннотация РПД,УКД,РПД
Теория автоматов и шифров,Аннотация РПД,УКД,РПД
Теория вероятностей и математическая статистика,Аннотация РПД,УКД,РПД
Технологии JAVA,Аннотация РПД,УКД,РПД
Технологии платформы .NET,Аннотация РПД,УКД,РПД
Уравнения математической физики,Аннотация РПД,УКД,РПД
Физическая культура и спорт,Аннотация РПД,УКД,РПД
Философия,Аннотация РПД,УКД,РПД
Функциональный анализ,Аннотация РПД,УКД,РПД
Цифровая обработка сигналов,Аннотация РПД,УКД,РПД
Цифровые инженерные технологии,Аннотация РПД,УКД,РПД
Численные методы,Аннотация РПД,УКД,РПД
Эконометрические модели,Аннотация РПД,УКД,РПД
Экономика и право,Аннотация РПД,УКД,РПД
Языки программирования,Аннотация РПД,УКД,РПД
Алгебра и геометрия,Аннотация РПД,УКД,РПД
Алгебраические методы функционального анализа,Аннотация РПД,УКД,РПД
Асимптотические методы,Аннотация РПД,УКД,РПД
Аэроакустика,Аннотация РПД,УКД,РПД
Безопасность жизнедеятельности,Аннотация РПД,УКД,РПД
Вариационное исчисление и методы оптимизации,Аннотация РПД,УКД,РПД
Введение в биомеханику,Аннотация РПД,УКД,РПД
Введение в проектную деятельность,Аннотация РПД,УКД,РПД
Введение в теорию функций вещественной переменной,Аннотация РПД,УКД,РПД
Динамика механических систем,Аннотация РПД,УКД,РПД
Дискретная математика и математическая логика,Аннотация РПД,УКД,РПД
Дисциплины по физической культуре и спорту,Аннотация РПД,УКД,РПД
Дифференциально-геометрические и топологические методы,Аннотация РПД,УКД,РПД
Дифференциальные уравнения,Аннотация РПД,УКД,РПД
Избранные главы гидроаэродинамики,Аннотация РПД,УКД,РПД
Избранные главы теории упругости,Аннотация РПД,УКД,РПД
Иностранный язык,Аннотация РПД,УКД,РПД
Иностранный язык для деловой коммуникации,Аннотация РПД,УКД,РПД
Интегральные преобразования и их приложения,Аннотация РПД,УКД,РПД
Интегральные уравнения и их приложения,Аннотация РПД,УКД,РПД
"История (История России, всеобщая история)",Аннотация РПД,УКД,РПД
Комплексный анализ,Аннотация РПД,УКД,РПД
Компьютерные науки,Аннотация РПД,УКД,РПД
Математические модели в механике сплошных сред,Аннотация РПД,УКД,РПД
Математические модели гидроупругости,Аннотация РПД,УКД,РПД
Математические модели теории упругости и пластичности,Аннотация РПД,УКД,РПД
Математический анализ,Аннотация РПД,УКД,РПД
Механика композитов,Аннотация РПД,УКД,РПД
Механика материалов,Аннотация РПД,УКД,РПД
Механика сплошной среды,Аннотация РПД,УКД,РПД
Обратные задачи в естествознании,Аннотация РПД,УКД,РПД
Операторы в банаховых пространствах,Аннотация РПД,УКД,РПД
Основания геометрии,Аннотация РПД,УКД,РПД
"Основы теории групп, колец и полей",Аннотация РПД,УКД,РПД
Прикладной функциональный анализ,Аннотация РПД,УКД,РПД
Проект 1 курса,Аннотация РПД,УКД,РПД
Проект 2 курса,Аннотация РПД,УКД,РПД
Проект 3 курса,Аннотация РПД,УКД,РПД
Стохастическое моделирование,Аннотация РПД,УКД,РПД
Теоретическая и прикладная механика,Аннотация РПД,УКД,РПД
"Теория вероятностей, математическая статистика, теория случайных процессов",Аннотация РПД,УКД,РПД
