text,label
ID,ref
id,ref
ATMID,ref
ID,ref
branch_code,ref
uid,ref
ref,ref
uuid,ref
_id,ref
ifsccode,ref
stdCode,ref
branch_id,ref
atm_id,ref
StoreID,ref
cbscode,ref
field_locator_additional_adress,address
address_line_1,address
Address,address
Address,address
address,address
ADDRESS,address
addressone,address
storeAddress,address
store_Address,address
DOMICILIO,address
address_line_1,address
endereco,address
Address_e,address
hintContent,address
fullAddress,address
full_address,address
bk-address2,address
bk-address1,address
website,store_url
url,store_url
site,store_url
house,housenumber
house_num,housenumber
house_number,housenumber
HouseNumber,housenumber
Hausnummer,housenumber
street,street
Strasse,street
StreetName,street
city,city
City,city
Ort,city
ZONE,city
CIUDAD,city
cidade,city
locality,city
cidade,city
state,state
Region,state
state,state
Kanton,state
state,state
STATE NAME,state
ESTADO,state
estado,state
branch_state,state
Province,state
country,country
Country,country
country_code,country
country_name,country
country_iso_code,country
country_iso_3_code,country
country_iso_2_code,country
codeCountry,country
country_id,country
countryId,country
cntry_code,country
countryCodeInfo,country
postal_code,postcode
Postcode,postcode
PLZ,postcode
zip,postcode
pincode,postcode
postal_code,postcode
branch_pincode,postcode
postcode,postcode
Zip_Code,postcode
postCode,postcode
zipCode,postcode
zip_code,postcode
bk-zip,postcode
postal,postcode
cep,postcode
email,email
Email,email
CORREO_GERENTE,email
mail,email
contact,email
DireccionEmail,email
CorreoElectronico,email
ContactoEmail,email
EmailContacto,email
CorreoElec,email
EmailID,email
EDireccion,email
EMail,email
BandejaEntrada,email
BuzonEmail,email
InfoEmail,email
DatosEmail,email
Correspondencia,email
DireccionMensaje,email
BandejaCorreo,email
DirComElectronico,email
CorreoDigital,email
DireccionElectronica,email
MensajeElectronico,email
ContactEmail,email
EmailContact,email
ElectronicMail,email
EmailID,email
Mail,email
EMail,email
EmailBox,email
Inbox,email
EmailInfo,email
EmailData,email
Correspondence,email
Mailbox,email
DigitalMail,email
EMessage,email
KontaktEmail,email
EmailKontakt,email
ElektronischePost,email
Post,email
EMail,email
EmailKasten,email
Posteingang,email
EmailInfo,email
EmailDaten,email
Korrespondenz,email
Briefkasten,email
DigitalePost,email
ENachricht,email
opening_hours,opening_hours
Opening Hours,opening_hours
Montag.VonBis,opening_hours
Dienstag.VonBis,opening_hours
Mittwoch.VonBis,opening_hours
Donnerstag.VonBis,opening_hours
Donnerstag.VonBis,opening_hours
Samstag.VonBis,opening_hours
Sonntag.VonBis,opening_hours
HORARIO,opening_hours
timings,opening_hours
operation_hours,opening_hours
Monday,opening_hours
Tuesday,opening_hours
Wednesday,opening_hours
Thursday,opening_hours
