text,label
ID,ref
id,ref
ATMID,ref
ID,ref
branch_code,ref
uid,ref
ref,ref
uuid,ref
_id,ref
ifsccode,ref
stdCode,ref
branch_id,ref
atm_id,ref
StoreID,ref
cbscode,ref
field_locator_additional_adress,address
address_line_1,address
Address,address
Address,address
address,address
ADDRESS,address
addressone,address
storeAddress,address
store_Address,address
DOMICILIO,address
address_line_1,address
endereco,address
Address_e,address
hintContent,address
fullAddress,address
full_address,address
bk-address2,address
bk-address1,address
website,store_url
url,store_url
site,store_url
house,housenumber
house_num,housenumber
house_number,housenumber
HouseNumber,housenumber
Hausnummer,housenumber
street,street
Strasse,street
StreetName,street
city,city
Ort,city
ZONE,city
CIUDAD,city
cidade,city
locality,city
town,city
county,city
cidade,city
state,state
Region,state
state,state
Kanton,state
state,state
STATE NAME,state
ESTADO,state
estado,state
branch_state,state
Province,state
country,country
Country,country
country_code,country
country_name,country
country_iso_code,country
country_iso_3_code,country
country_iso_2_code,country
codeCountry,country
country_id,country
countryId,country
cntry_code,country
countryCodeInfo,country
postal_code,postcode
Postcode,postcode
PLZ,postcode
zip,postcode
pincode,postcode
postal_code,postcode
branch_pincode,postcode
postcode,postcode
Zip_Code,postcode
postCode,postcode
zipCode,postcode
zip_code,postcode
bk-zip,postcode
postal,postcode
cep,postcode
email,email
Email,email
CORREO_GERENTE,email
mail,email
contact,email
DireccionEmail,email
CorreoElectronico,email
ContactoEmail,email
EmailContacto,email
CorreoElec,email
EmailID,email
EDireccion,email
EMail,email
BandejaEntrada,email
BuzonEmail,email
InfoEmail,email
DatosEmail,email
Correspondencia,email
DireccionMensaje,email
BandejaCorreo,email
DirComElectronico,email
CorreoDigital,email
DireccionElectronica,email
MensajeElectronico,email
ContactEmail,email
EmailContact,email
ElectronicMail,email
EmailID,email
Mail,email
EMail,email
EmailBox,email
Inbox,email
EmailInfo,email
EmailData,email
Correspondence,email
Mailbox,email
DigitalMail,email
EMessage,email
KontaktEmail,email
EmailKontakt,email
ElektronischePost,email
Post,email
EMail,email
EmailKasten,email
Posteingang,email
EmailInfo,email
EmailDaten,email
Korrespondenz,email
Briefkasten,email
DigitalePost,email
ENachricht,email
opening_hours,opening_hours
Opening Hours,opening_hours
HORARIO,opening_hours
timings,opening_hours
operation_hours,opening_hours
days,opening_hours
hours,opening_hours
opening_hours,opening_hours
StoreBusinessHours,opening_hours
gesloten,opening_hours
openingtimes,opening_hours
openTimeFormat,opening_hours
work,opening_hours
work_time,opening_hours
work_hours,opening_hours
working_hours,opening_hours
workingHours,opening_hours
Work_hour,opening_hours
Working_time,opening_hours
Hours_of_work,opening_hours
Workday_hours,opening_hours
Work_schedule,opening_hours
Working_hours,opening_hours
Business_hours,opening_hours
Operational_hours,opening_hours
Work_period,opening_hours
Business_time,opening_hours
Business_work,opening_hours
Time_of_operation,opening_hours
Time_of_work,opening_hours
closeTimeFormat,opening_hours
startDay,opening_hours
gesloten,opening_hours
openingtimes,opening_hours
time,opening_hours
work_time,opening_hours
open_time,opening_hours
weekdays,opening_hours
start,opening_hours
end,opening_hours
minute,opening_hours
hour,opening_hours
holidays,opening_hours
PH,opening_hours
storeHours,opening_hours
open_hours,opening_hours
open,opening_hours
close,opening_hours
hours1,opening_hours
HoursDescription,opening_hours
Phone,phone
contacts,phone
Phone,phone
Telefon,phone
phone,phone
phoneNumber,phone
TELEFONO,phone
telefone,phone
number,phone
telephone,phone
Front_Phone,phone
contact,phone
bk-phone,phone
Mob,phone
mob,phone
Mobi,phone
mobile,phone
Whatsapp,phone
shopPhone,phone
telefoneDois,phone
whatsapp,phone
telefoneUm,phone
tel,phone
lat,lat
latitude,lat
Latitude,lat
GEO.Y,lat
LATITUDE,lat
LATITUDE,lat
Lat,lat
formdata[lat],lat
lon,lon
longitude,lon
Longitude,lon
coordinates,location
features,location
feature,location
FeatureCollection,location
place,location
places,location
stores,location
store,location
shops,location
shop,location
point,location
marker,location
markers,location
mapMarker,location
map_point,location
response,location
map,location
data_coordinates,location
GEO.X,lon
x,lon
y,lat
LONGITUDE,lon
LONGITUDE,lon
Lng,lon
formdata[lng],lon
location,location
LocationInfo,location
geom,location
geometry,location
coord,location
geo,location
clock,opening_hours
custom_fields,unknown
filters,unknown
priority,unknown
image_url,unknown
description,unknown
name,placename
bankingname,placename
Apple,unknown
Construction,unknown
Music,unknown
Elephant,unknown
Chemistry,unknown
Delicious,unknown
Universe,unknown
Photography,unknown
Friendship,unknown
Entrepreneur,unknown
Mountain,unknown
Democracy,unknown
Adventure,unknown
Meditation,unknown
Exploration,unknown
Mathematics,unknown
Courage,unknown
Symphony,unknown
Robot,unknown
Innovation,unknown
Culture,unknown
