text,label
ID,ref
id,ref
ATMID,ref
ID,ref
branch_code,ref
uid,ref
ref,ref
uuid,ref
_id,ref
branch_id,ref
atm_id,ref
StoreID,ref
field_locator_additional_adress,address
address_line_1,address
Address,address
Address,address
address,address
ADDRESS,address
addressone,address
storeAddress,address
DOMICILIO,address
address_line_1,address
endereco,address
Address_e,address
hintContent,address
fullAddress,address
bk-address2,address
bk-address1,address
storeAddress,address
house,housenumber
house_num,housenumber
house_number,housenumber
HouseNumber,housenumber
Hausnummer,housenumber
street,street
Strasse,street
StreetName,street
city,city
City,city
Ort,city
ZONE,city
CIUDAD,city
cidade,city
locality,city
cidade,city
state,state
Region,state
state,state
Kanton,state
state,state
STATE NAME,state
ESTADO,state
estado,state
branch_state,state
Province,state
country,country
Country,country
country_code,country
postal_code,postcode
Postcode,postcode
PLZ,postcode
zip,postcode
pincode,postcode
postal_code,postcode
branch_pincode,postcode
postcode,postcode
Zip_Code,postcode
postCode,postcode
zipCode,postcode
zip_code,postcode
bk-zip,postcode
postal,postcode
cep,postcode
email,email
Email,email
CORREO_GERENTE,email
mail,email
contact,email
DireccionEmail,email
CorreoElectronico,email
ContactoEmail,email
EmailContacto,email
CorreoElec,email
EmailID,email
EDireccion,email
EMail,email
BandejaEntrada,email
BuzonEmail,email
InfoEmail,email
DatosEmail,email
Correspondencia,email
DireccionMensaje,email
BandejaCorreo,email
DirComElectronico,email
CorreoDigital,email
DireccionElectronica,email
MensajeElectronico,email
ContactEmail,email
EmailContact,email
ElectronicMail,email
EmailID,email
Mail,email
EMail,email
EmailBox,email
Inbox,email
EmailInfo,email
EmailData,email
Correspondence,email
Mailbox,email
DigitalMail,email
EMessage,email
KontaktEmail,email
EmailKontakt,email
ElektronischePost,email
Post,email
EMail,email
EmailKasten,email
Posteingang,email
EmailInfo,email
EmailDaten,email
Korrespondenz,email
Briefkasten,email
DigitalePost,email
ENachricht,email
Jan,month
Feb,month
Mar,month
Apr,month
May,month
Jun,month
Jul,month
Aug,month
Sep,month
Oct,month
Nov,month
Dec,month
January,month
February,month
March,month
April,month
May,month
June,month
July,month
August,month
September,month
October,month
November,month
December,month
Jan,month
Fév,month
Mar,month
Avr,month
Mai,month
Jui,month
Juil,month
Aoû,month
Sep,month
Oct,month
Nov,month
Déc,month
Janvier,month
Février,month
Mars,month
Avril,month
Mai,month
Juin,month
Juillet,month
Août,month
Septembre,month
Octobre,month
Novembre,month
Décembre,month
Jan,month
Feb,month
Mär,month
Apr,month
Mai,month
Jun,month
Jul,month
Aug,month
Sep,month
Okt,month
Nov,month
Dez,month
Januar,month
